Sample Name,IV_curve_3H_4L,,
Test Name,New 2T Resistance - Sweep,,
Location Info,,,
Mode,Sweeping,,
Speed,Normal,,
Start Delay,0,s,
Delay Between Measurements,0,s,
Number Of Samples,N/A,,
Precisio version,2.5.0.4,,
Executed,02/04/26 11:34:34,,
Duration,00:00:06,,
Device Terminal,Terminal 1,Terminal 2,
Instrument,Keithley TSP Instrument - SMU master,Keithley TSP Instrument - GNDU,
MiBot,3: miBot 3,4: miBot 4,
Operation Mode,Voltage Sweep,Common,
Start/Bias,-8,0,
Stop,8,N/A,
Step,0.326530612244898,N/A,
Number of Points,50,N/A,
Compliance,0.001,1.05,
Measure Current,Measured,N/A,
Measure Voltage,Measured,N/A,
Current Range,Limited Auto (1E-08 A),N/A,
Voltage Range,Auto,N/A,
I1,V1,
I Terminal 1,V Terminal 1,
-0.000327657209709287,-8.00012588500977,
-0.000313997734338045,-7.67335510253906,
-0.000302910339087248,-7.34690475463867,
-0.000290275318548083,-7.02044296264648,
-0.000277125975117087,-6.69388198852539,
-0.00026441109366715,-6.36747741699219,
-0.000251870602369308,-6.04105758666992,
-0.000238493550568819,-5.71458435058594,
-0.000225230818614364,-5.38810729980469,
-0.000211887992918491,-5.06096267700195,
-0.000198727240785956,-4.73451995849609,
-0.0001848756801337,-4.40802001953125,
-0.000171487918123603,-4.0815544128418,
-0.000157967675477266,-3.75514602661133,
-0.000144347664900124,-3.42835235595703,
-0.000130723230540752,-3.10178756713867,
-0.000116967363283038,-2.77532958984375,
-0.000103129772469401,-2.44888687133789,
-8.92850512173027E-05,-2.12238693237305,
-7.54600914660841E-05,-1.7958550453186,
-6.15572789683938E-05,-1.46939373016357,
-4.78019792353734E-05,-1.14283847808838,
-3.40966507792473E-05,-0.816327571868896,
-2.04594252863899E-05,-0.489798069000244,
-6.81689925841056E-06,-0.16325569152832,
6.81785968481563E-06,0.163262128829956,
2.0433304598555E-05,0.489813327789307,
3.40681581292301E-05,0.816343784332275,
4.78688743896782E-05,1.14285707473755,
6.17319747107103E-05,1.46939420700073,
7.55828878027387E-05,1.79588270187378,
8.93885007826611E-05,2.12245559692383,
0.00010318546264898,2.44877243041992,
0.000117114279419184,2.77534103393555,
0.000131121370941401,3.10204696655273,
0.000144875491969287,3.42856979370117,
0.00015881285071373,3.75494384765625,
0.000172589090652764,4.08164978027344,
0.000186219112947583,4.40802574157715,
0.000199325382709503,4.73445892333984,
0.000212780316360295,5.0611572265625,
0.00022664328571409,5.38791275024414,
0.000239796121604741,5.71465492248535,
0.000252919388003647,6.04107284545898,
0.000265915761701763,6.36741638183594,
0.000278978492133319,6.69410514831543,
0.000291932723484933,7.02053260803223,
0.000303841312415898,7.34698486328125,
0.000317172729410231,7.67339134216309,
0.000329219154082239,8.00008964538574,
