Sample Name,IV_curve_3H_4L_1,,
Test Name,New 2T Resistance - Sweep,,
Location Info,,,
Mode,Sweeping,,
Speed,Normal,,
Start Delay,0,s,
Delay Between Measurements,0,s,
Number Of Samples,N/A,,
Precisio version,2.5.0.4,,
Executed,16/04/26 18:16:58,,
Duration,00:00:07,,
Device Terminal,Terminal 1,Terminal 2,
Instrument,Keithley TSP Instrument - SMU master,Keithley TSP Instrument - GNDU,
MiBot,3: miBot 3,4: miBot 4,
Operation Mode,Voltage Sweep,Common,
Start/Bias,-1,0,
Stop,1,N/A,
Step,0.04,N/A,
Number of Points,51,N/A,
Compliance,0.001,1.05,
Measure Current,Measured,N/A,
Measure Voltage,Measured,N/A,
Current Range,Limited Auto (1E-08 A),N/A,
Voltage Range,Auto,N/A,
I1,V1,
I Terminal 1,V Terminal 1,
-8.27304029371589E-06,-0.999988794326782,
-7.92076389188878E-06,-0.960003137588501,
-7.58111855247989E-06,-0.920000314712524,
-7.24048004485667E-06,-0.879998922348022,
-6.89798798703123E-06,-0.839991331100464,
-6.56044721836224E-06,-0.800006628036499,
-6.21700201008935E-06,-0.76000714302063,
-5.88396687817294E-06,-0.719994306564331,
-5.54835423827171E-06,-0.679982423782349,
-5.21211586601567E-06,-0.639981031417847,
-4.87802753923461E-06,-0.600012540817261,
-4.54245491710026E-06,-0.559998750686646,
-4.21712320530787E-06,-0.519985914230347,
-3.88661283068359E-06,-0.479981660842896,
-3.55711381416768E-06,-0.440006732940674,
-3.23114181810524E-06,-0.400001525878906,
-2.9035745683359E-06,-0.359991550445557,
-2.57860847341362E-06,-0.319982051849365,
-2.25508483708836E-06,-0.280005693435669,
-1.93026789929718E-06,-0.239994764328003,
-1.60697891260497E-06,-0.199992179870605,
-1.28541796584614E-06,-0.159997463226318,
-9.63063484960003E-07,-0.119989156723022,
-6.42019585939124E-07,-0.0799918174743652,
-3.21058905683458E-07,-0.0399901866912842,
1.44666501000756E-10,6.85453414916992E-07,
3.20742060466728E-07,0.0400030612945557,
6.40389430373034E-07,0.0799965858459473,
9.6147937256319E-07,0.119991540908813,
1.28314786707051E-06,0.16000771522522,
1.60518357006367E-06,0.200008869171143,
1.92685911315493E-06,0.239994049072266,
2.24868199438788E-06,0.279995679855347,
2.57193642028142E-06,0.320000410079956,
2.89601848635357E-06,0.35999870300293,
3.22298183164094E-06,0.400000810623169,
3.55060547008179E-06,0.439997911453247,
3.87567888537887E-06,0.479996681213379,
4.20619289798196E-06,0.519993543624878,
4.53249322163174E-06,0.559998273849487,
4.86369572172407E-06,0.600003480911255,
5.19382774655242E-06,0.639997243881226,
5.52637266082456E-06,0.679989337921143,
5.8553732742439E-06,0.719996452331543,
6.18630838289391E-06,0.759998083114624,
6.52130347589264E-06,0.799992084503174,
6.85453233018052E-06,0.839992046356201,
7.19247782399179E-06,0.880002737045288,
7.52765572542557E-06,0.919995307922363,
7.86477085057413E-06,0.959989786148071,
8.20602053863695E-06,0.999996185302734,
